       0     7.154     4.317     4.270     4.951     4.500 
       0     7.154     4.317     4.270     4.951     4.500 
      25     5.045     4.523     4.349     4.620     4.791 
      50     4.829     4.576     4.447     4.503     4.344 
      75     4.952     4.144     4.834     4.286     4.357 
     100     5.387     4.425     4.623     4.121     4.657 
     125     4.858     4.784     4.684     4.259     4.236 
     150     5.391     4.365     4.597     4.423     4.149 
     175     4.847     4.233     4.384     4.681     4.500 
     200     5.061     4.438     4.159     4.491     4.539 
     225     4.912     4.388     4.372     4.177     4.710 
     250     5.056     4.490     4.579     4.357     4.152 
     275     5.042     4.510     4.333     4.442     4.367 
     300     5.027     4.598     4.203     4.104     4.738 
     325     4.801     4.597     4.536     4.284     4.448 
     350     4.970     4.286     4.389     4.570     4.433 
     375     4.982     4.592     4.427     4.389     4.617 
     400     5.009     4.314     4.496     3.972     4.478 
     425     5.061     4.300     4.499     4.388     4.521 
     450     4.819     4.387     4.634     4.522     4.659 
     475     5.154     4.539     4.428     4.172     4.627 
     500     5.006     4.921     4.363     4.189     4.629 
     525     4.815     4.437     4.528     4.306     4.442 
     550     4.931     4.801     4.432     4.148     4.715 
     575     5.067     4.267     4.550     4.270     4.404 
     600     5.315     4.188     4.472     4.354     4.397 
     625     4.781     4.724     4.485     4.477     4.894 
     650     4.892     4.196     4.345     4.222     4.657 
     675     5.222     4.429     4.490     3.986     4.435 
     700     4.969     4.634     4.532     4.572     4.599 
     725     5.193     4.701     4.339     4.074     4.719 
     750     5.157     4.810     4.201     4.150     4.599 
     775     4.923     4.141     4.463     4.412     4.325 
     800     5.097     4.500     4.282     4.138     4.313 
     825     4.837     4.522     4.560     4.428     4.758 
     850     5.187     4.673     4.605     4.530     4.864 
     875     5.092     4.480     4.586     4.154     4.169 
     900     4.992     4.539     4.570     4.093     4.247 
     925     5.185     4.399     4.153     4.472     4.845 
     950     4.924     4.450     4.491     4.449     4.607 
     975     4.844     4.531     4.458     4.426     4.629 
    1000     4.986     4.549     4.386     4.105     4.527 
    1025     5.101     4.490     4.488     4.029     4.530 
    1050     5.084     4.452     4.632     4.436     4.436 
    1075     5.348     4.602     4.471     4.380     4.587 
    1100     5.253     4.448     4.588     4.287     4.606 
    1125     5.235     4.441     4.606     4.460     4.582 
    1150     5.177     4.437     4.601     4.275     4.438 
    1175     4.920     4.329     4.518     4.085     4.465 
    1200     5.016     4.630     4.165     4.209     4.503 
    1225     4.837     4.307     4.325     4.267     4.797 
    1250     4.760     4.453     4.666     4.340     4.539 
    1275     4.978     4.363     4.518     3.910     4.704 
    1300     4.950     4.533     4.537     4.182     4.670 
    1325     4.975     4.543     4.522     4.390     4.282 
    1350     4.838     4.464     4.396     4.338     4.337 
    1375     4.963     4.436     4.258     4.212     4.609 
    1400     4.874     4.438     4.311     4.400     4.690 
    1425     5.201     4.709     4.402     4.422     4.348 
    1450     5.123     4.528     4.608     4.140     4.255 
    1475     5.163     4.327     4.569     4.209     4.661 
    1500     5.011     4.594     4.559     4.365     4.700 
    1525     4.820     4.367     4.332     4.378     4.626 
    1550     4.931     4.644     4.229     4.341     4.405 
    1575     5.010     4.453     4.456     4.017     4.593 
    1600     4.909     4.669     4.662     4.345     4.623 
    1625     5.292     4.410     4.680     4.381     4.658 
    1650     5.380     4.453     4.655     4.358     4.464 
    1675     5.016     4.395     4.478     4.253     4.565 
    1700     4.807     4.597     4.208     4.419     4.393 
    1725     5.002     4.507     4.324     4.097     4.496 
    1750     4.959     4.592     4.383     4.283     4.407 
    1775     4.959     4.375     4.226     4.250     4.595 
    1800     4.897     4.354     4.352     4.320     4.462 
    1825     5.015     4.481     4.519     4.180     4.593 
    1850     5.105     4.403     4.589     4.193     4.501 
    1875     5.055     4.354     4.570     4.319     4.621 
    1900     4.788     4.531     4.473     4.299     4.644 
    1925     4.749     4.652     4.357     4.216     4.478 
    1950     5.057     4.581     4.428     4.216     4.452 
    1975     5.111     4.427     4.584     4.533     4.595 
    2000     4.990     4.480     4.471     4.216     4.697 
    2025     5.190     4.339     4.424     3.952     4.574 
    2050     5.086     4.442     4.526     4.179     4.595 
    2075     5.104     4.559     4.611     4.589     4.648 
    2100     5.117     4.482     4.324     4.271     4.377 
    2125     4.911     4.634     4.406     4.169     4.339 
    2150     5.165     4.550     4.624     4.220     4.464 
    2175     5.218     4.478     4.510     4.269     4.632 
    2200     4.993     4.268     4.527     4.174     4.462 
    2225     4.906     4.324     4.263     4.333     4.356 
    2250     4.915     4.502     4.335     4.421     4.424 
    2275     5.171     4.652     4.549     4.351     4.516 
    2300     5.103     4.412     4.426     4.092     4.637 
    2325     4.839     4.721     4.460     4.381     4.265 
    2350     4.984     4.311     4.471     4.375     4.373 
    2375     4.903     4.431     4.497     4.319     4.554 
    2400     5.048     4.377     4.512     4.208     4.673 
    2425     5.029     4.527     4.499     4.405     4.689 
    2450     5.015     4.576     4.580     4.112     4.386 
    2475     5.199     4.543     4.424     4.268     4.477 
